@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class{Positive,Negative,Neutral}

@data
0.01,0.0,0.01,0.39,0.01,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.1,1.59,0.5,Neutral
0.0,0.0,0.0,0.0,0.0,0.81,0.85,0.0,0.09,0.0,0.09,0.0,0.87,1.02,0.27,0.0,Neutral
0.36,0.0,0.27,0.0,0.21,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.31,1.19,1.27,Neutral
1.7,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.32,1.83,Neutral
0.4,0.0,0.0,0.0,0.15,1.75,2.45,0.0,0.0,0.0,0.0,0.0,2.3,3.67,2.05,0.68,Negative
1.23,0.0,0.52,0.0,0.31,1.89,1.81,0.0,0.0,0.0,0.0,0.0,1.58,2.22,2.19,1.54,Negative
0.0,0.0,0.28,1.78,0.28,0.97,0.0,0.0,0.0,0.0,0.0,0.0,2.26,1.28,1.28,2.14,Negative
0.0,0.0,0.0,0.63,0.0,2.03,0.54,0.0,0.0,0.0,0.0,0.0,0.89,3.03,2.94,0.63,Negative
0.66,0.0,0.15,0.1,0.51,0.88,1.47,0.0,0.0,0.0,0.0,0.0,0.51,1.83,3.03,1.71,Negative
0.0,0.0,0.0,0.17,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.62,4.2,2.91,0.17,Negative
1.96,0.0,0.33,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.07,0.8,1.96,Negative
0.9,0.0,0.98,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.17,0.32,3.55,Negative
0.0,0.0,0.47,0.0,0.0,0.55,1.03,0.0,0.0,0.15,0.0,0.15,1.1,1.18,1.03,0.95,Negative
0.0,0.0,0.0,0.0,1.29,0.82,0.72,0.0,0.0,0.0,0.0,0.0,2.22,0.93,0.0,1.29,Negative
0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.35,0.0,0.35,0.0,0.0,2.45,2.45,0.0,Negative
0.0,0.38,0.78,0.0,1.16,1.07,0.0,0.0,0.0,0.0,0.0,0.0,2.23,1.07,0.0,1.16,Negative
0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.39,2.39,0.0,Negative
1.35,0.0,1.32,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,1.61,2.04,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,2.26,0.0,Negative
0.0,0.0,0.66,0.0,0.66,1.37,0.55,0.0,0.0,0.0,0.0,0.0,0.66,1.37,1.73,1.02,Negative
1.24,0.0,0.43,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,2.39,Negative
0.0,0.0,0.05,0.62,0.0,2.47,2.47,0.0,0.0,0.0,0.0,0.0,3.13,2.47,0.62,0.67,Negative
0.0,0.0,0.0,0.07,0.0,0.0,0.49,0.07,0.16,0.0,0.65,0.0,0.41,0.85,0.92,0.48,Negative
0.0,0.0,2.31,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.18,2.64,Negative
0.0,0.0,0.0,0.12,0.0,0.0,1.71,0.0,0.0,0.0,1.71,0.0,1.83,1.71,0.0,0.12,Negative
0.0,0.0,0.32,0.97,0.32,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.85,1.9,0.37,0.32,Negative
0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,2.11,1.84,Negative
0.0,0.0,0.33,0.0,0.0,1.5,0.32,0.0,0.0,0.0,0.0,0.0,0.33,1.5,1.83,0.33,Negative
0.82,0.0,0.0,0.0,0.33,0.78,0.73,0.17,0.0,0.0,0.0,0.0,0.22,1.12,1.72,0.82,Negative
1.68,0.0,1.02,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.92,2.22,Negative
0.0,0.0,0.27,0.0,0.27,0.62,0.12,0.0,0.22,0.0,0.34,0.0,0.62,0.97,0.61,0.27,Negative
0.0,0.0,0.0,0.94,0.0,1.12,1.12,0.0,0.0,0.0,0.0,0.0,2.05,1.12,0.0,0.94,Negative
0.52,0.0,0.0,0.85,0.32,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.28,0.17,1.85,Negative
0.0,0.0,0.0,0.73,0.75,1.05,0.68,0.0,0.6,0.23,0.6,0.23,1.95,2.31,1.58,1.22,Negative
0.25,0.0,0.32,0.0,0.63,0.52,2.4,0.0,0.0,0.0,1.88,0.0,2.51,2.4,2.71,0.95,Negative
0.0,0.15,0.73,0.08,0.73,2.17,0.58,0.0,0.0,0.0,0.0,0.0,2.78,2.56,1.22,1.43,Negative
0.0,0.0,0.0,0.0,0.0,1.52,0.32,0.0,0.0,0.0,0.0,0.0,0.12,5.11,5.0,0.0,Negative
1.08,0.0,0.82,0.0,0.58,1.18,0.73,0.0,0.0,0.0,0.0,0.0,0.57,1.18,2.6,1.98,Negative
0.35,0.0,0.62,0.08,1.39,1.8,1.32,0.0,0.0,0.0,0.0,0.0,1.64,1.8,3.15,1.93,Negative
0.0,0.0,0.0,0.42,0.0,2.65,1.06,0.78,0.78,0.07,0.52,0.52,2.19,3.62,1.85,0.42,Negative
0.0,0.0,0.0,0.0,0.0,0.83,1.01,0.12,0.4,0.0,0.69,0.0,0.71,1.7,0.99,0.0,Negative
0.0,0.0,0.0,0.0,0.0,3.96,3.96,0.0,0.0,0.0,0.0,0.27,3.96,4.23,0.27,0.0,Negative
0.0,0.0,0.0,0.08,1.96,0.2,0.2,0.0,0.0,0.0,0.0,0.0,3.39,0.28,0.38,3.49,Negative
0.0,0.0,0.0,1.47,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0,1.32,0.6,1.47,1.47,Positive
0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,1.5,0.0,0.18,1.68,1.5,0.0,Positive
0.0,0.0,0.0,0.78,0.0,1.18,0.62,0.0,0.0,0.0,0.0,0.0,1.97,1.53,0.35,0.78,Positive
0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,2.55,0.0,Positive
